firstName,lastName,email,phone,zipCode,address,apt,city,state,dob,timezone,latitude,longitude
Joseph,Ferrari,josephfer59@protonmail.com,9172586193,10003,3612 Park Rd,,New York,NY,07/26/1960,America/New_York,40.733444,-73.99249
Donna,Jones,donna.jones7@hotmail.com,9345931165,10009,3192 Moore Ave,,New York,NY,04/18/1990,America/New_York,40.722655,-73.982332
John,Wilson,j.wilson@protonmail.com,8456453606,10454,4678 Jackson St,Apt 398,Bronx,NY,08/09/1945,America/New_York,40.803486,-73.920754
Michael,Ferrari,michaelferr@yahoo.com,3153979323,14208,5014 Franklin Ave,Apt 263,Buffalo,NY,09/09/2001,America/New_York,42.832952,-78.79475
Anthony,Conti,anthonyconti22@gmail.com,3157036274,14606,2230 Fourth St,,Rochester,NY,03/19/1949,America/New_York,43.139063,-77.559215
John,Brown,johnbrown82@yahoo.com,6074153672,10006,9107 Elm St,Apt 596,New York,NY,03/28/1973,America/New_York,40.712336,-74.014839
Michael,Miller,michaelmil20@protonmail.com,9346919124,10308,8898 Jefferson St,Apt 649,Staten Island,NY,08/19/1954,America/New_York,40.558646,-74.151243
Maria,Jones,maria.jones99@protonmail.com,6463838187,10451,2463 Cedar Ln,,Bronx,NY,12/28/1999,America/New_York,40.817237,-73.922747
Catherine,Johnson,cjohnson25@hotmail.com,2127349579,10012,4720 Second St,Apt 494,New York,NY,02/10/1998,America/New_York,40.720567,-73.997243
Michael,Williams,michaelwill@gmail.com,6314037403,14203,1137 Brown St,,Buffalo,NY,11/25/1962,America/New_York,42.874588,-78.854577
Catherine,Johnson,catherine_johnson@yahoo.com,5168999228,10310,3897 Thomas Rd,,Staten Island,NY,06/16/1945,America/New_York,40.626795,-74.116262
Frank,Romano,fromano78@outlook.com,5183565606,10302,862 Taylor Ave,Apt 973,Staten Island,NY,04/11/1999,America/New_York,40.628312,-74.131654
Catherine,Wilson,catherinewils@gmail.com,7186825043,13201,20 Wilson Rd,,Syracuse,NY,12/02/1972,America/New_York,43.050626,-76.14502
Vincent,Romano,vincentr58@yahoo.com,9298468479,10017,3508 Oak Ave,,New York,NY,11/16/1958,America/New_York,40.756063,-73.975302
Michael,Esposito,michael_esposito@protonmail.com,9175643627,12207,1302 Wilson Rd,Apt 276,Albany,NY,08/10/1979,America/New_York,42.656718,-73.787971
Michelle,Romano,mromano39@outlook.com,9176667573,14607,8025 Jefferson St,,Rochester,NY,05/25/1945,America/New_York,43.191858,-77.55092
Angela,Esposito,angela216@yahoo.com,6462766428,10307,5156 Second St,,Staten Island,NY,04/04/1995,America/New_York,40.504427,-74.243609
Nicholas,Conti,nicholas311@hotmail.com,9176868063,11356,3204 Third St,,Queens,NY,07/23/1955,America/New_York,40.781611,-73.849423
Angela,Davis,angeladavis92@outlook.com,5162074996,14604,5372 Johnson Rd,,Rochester,NY,10/23/1974,America/New_York,43.146128,-77.5836
Frank,Smith,f.smith@outlook.com,6077752583,11102,6708 Washington Ave,,Queens,NY,03/26/1945,America/New_York,40.7653,-73.924514
Frank,Wilson,fwilson24@yahoo.com,9176896190,10009,3441 Smith Rd,,New York,NY,06/25/1957,America/New_York,40.723574,-73.97909
Michael,Davis,michael.davis26@outlook.com,9296569164,11210,2696 Lincoln Rd,,Brooklyn,NY,09/24/1951,America/New_York,40.628682,-73.946166
Angela,Conti,angela.conti60@gmail.com,3472751554,14609,2771 Smith Rd,,Rochester,NY,01/27/1960,America/New_York,43.207414,-77.524207
Maria,Brown,maria293@gmail.com,5188379961,13204,987 Second St,Apt 264,Syracuse,NY,04/17/1992,America/New_York,43.032511,-76.121734
Michael,Williams,michael.williams4@protonmail.com,9345419784,13210,554 Smith Rd,,Syracuse,NY,03/06/1991,America/New_York,42.996503,-76.05615
Frank,Williams,frank_williams@hotmail.com,9345235749,11358,160 Maple Ave,,Queens,NY,10/26/1979,America/New_York,40.761517,-73.790687
Nicholas,Johnson,nicholas_johnson@protonmail.com,5858528358,10007,5989 Washington Ave,,New York,NY,05/28/2005,America/New_York,40.71604,-74.007145
Michael,Romano,michael.romano68@hotmail.com,3158303557,14607,9712 Third St,Apt 759,Rochester,NY,05/03/1968,America/New_York,43.192878,-77.550115
Nicholas,Conti,n.conti@hotmail.com,3159713923,12207,3220 Madison Ave,,Albany,NY,10/02/1962,America/New_York,42.656502,-73.787434
Catherine,Jones,catherinej01@protonmail.com,9173165576,10305,9954 Johnson Rd,Apt 21,Staten Island,NY,08/01/2001,America/New_York,40.598608,-74.068346
Frank,Smith,f.smith@protonmail.com,7184341367,10457,1919 Davis Ave,Apt 105,Bronx,NY,02/11/1964,America/New_York,40.851945,-73.900414
Angela,Russo,angela.russo86@hotmail.com,7184164637,14610,8781 Main St,,Rochester,NY,02/27/1986,America/New_York,43.120477,-77.521668
Frank,Smith,frank.smith7@protonmail.com,8459202098,10301,1871 Franklin Ave,,Staten Island,NY,04/20/1976,America/New_York,40.628969,-74.078932
Catherine,Smith,catherinesmit@gmail.com,9172024546,10019,1751 Martin St,Apt 280,New York,NY,12/28/1963,America/New_York,40.763322,-73.989759
Angela,Greco,angelag98@yahoo.com,6079326910,10001,694 Second St,Apt 360,New York,NY,11/23/1998,America/New_York,40.751747,-73.995023
Angela,Ricci,angela.ricci@protonmail.com,7164872969,14610,637 Smith Rd,,Rochester,NY,08/27/1992,America/New_York,43.121596,-77.520062
Joseph,Jones,j.jones@hotmail.com,6319656747,11207,5774 Elm St,,Brooklyn,NY,10/17/1980,America/New_York,40.673505,-73.898514
Joseph,Ricci,josephricc@hotmail.com,6079193468,14208,1608 Park Rd,,Buffalo,NY,06/28/1969,America/New_York,42.838488,-78.794712
Michael,Ferrari,michael.ferrari8@outlook.com,7164517103,13210,4925 Lincoln Rd,Apt 751,Syracuse,NY,09/04/1991,America/New_York,42.993767,-76.056322
Frank,Marino,frankmarino95@gmail.com,9293299091,10005,9423 Moore Ave,,New York,NY,03/05/1961,America/New_York,40.71012,-74.009631
Michael,Johnson,michael_johnson59@outlook.com,9179946694,11357,2669 Lincoln Rd,Apt 245,Queens,NY,09/24/1995,America/New_York,40.798302,-73.840868
Nicholas,Conti,nicholas.conti85@outlook.com,9178412555,10003,4010 Martin St,,New York,NY,01/11/1985,America/New_York,40.735532,-73.993039
Jennifer,Ricci,jennifer1032@yahoo.com,9144779363,10307,6901 Jones St,,Staten Island,NY,09/02/1953,America/New_York,40.502652,-74.242526
Donna,Esposito,donna_esposito@outlook.com,3158078723,14205,3339 Williams Ave,Apt 649,Buffalo,NY,12/08/2001,America/New_York,42.901235,-78.836181
Joseph,Russo,jrusso22@protonmail.com,9144459117,14609,5089 Oak Ave,,Rochester,NY,08/01/1991,America/New_York,43.20286,-77.524076
John,Brown,johnbrown13@hotmail.com,5163388295,14604,6600 Washington Ave,,Rochester,NY,11/26/1971,America/New_York,43.14977,-77.574431
Angela,Ferrari,angela.ferrari62@protonmail.com,9149582528,11205,4154 Pine St,,Brooklyn,NY,05/11/1962,America/New_York,40.698449,-73.968825
Anthony,Wilson,anthonywilson50@hotmail.com,6467029300,10302,5674 Anderson St,Apt 201,Staten Island,NY,08/22/1987,America/New_York,40.625788,-74.13184
Michelle,Ricci,micheller51@outlook.com,9174373165,10309,2382 Jefferson St,,Staten Island,NY,04/02/1951,America/New_York,40.518692,-74.211058
Salvatore,Brown,salvatore1073@gmail.com,3157465672,14609,2168 Williams Ave,Apt 129,Rochester,NY,07/14/1989,America/New_York,43.207853,-77.524817
Angela,Greco,angela_greco75@hotmail.com,3474088030,11206,8616 Maple Ave,,Brooklyn,NY,11/26/1999,America/New_York,40.704891,-73.943305
Salvatore,Russo,salvatore_russo49@protonmail.com,8454143217,14205,5664 Smith Rd,,Buffalo,NY,11/18/1978,America/New_York,42.894607,-78.837394
Anthony,Russo,anthony.russo8@outlook.com,6319418579,14609,6988 Washington Ave,Apt 446,Rochester,NY,11/11/1976,America/New_York,43.209432,-77.530541
Frank,Davis,frankdavis97@protonmail.com,6073767593,10451,3353 Johnson Rd,,Bronx,NY,02/22/1970,America/New_York,40.824892,-73.929845
Michelle,Jones,michelle484@outlook.com,2122796798,13206,5272 Smith Rd,Apt 782,Syracuse,NY,05/05/1960,America/New_York,43.021935,-76.097057
Michael,Greco,michael_greco62@hotmail.com,8454146169,14609,3708 Main St,,Rochester,NY,08/15/1948,America/New_York,43.206632,-77.529676
Joseph,Brown,josephb52@gmail.com,7166258585,14203,4237 Fifth St,Apt 229,Buffalo,NY,04/17/1952,America/New_York,42.872168,-78.8559
Joseph,Smith,josephsmit@yahoo.com,6314301999,14608,4054 Miller St,,Rochester,NY,03/17/1950,America/New_York,43.131185,-77.534401
Lisa,Greco,lisa531@outlook.com,6465233584,14604,9446 Maple Ave,,Rochester,NY,10/04/1993,America/New_York,43.151182,-77.576157
Anthony,Johnson,a.johnson@yahoo.com,3159317604,12205,8256 Adams St,,Albany,NY,08/21/1950,America/New_York,42.70952,-73.813871
Vincent,Williams,vincentwill@outlook.com,6072038408,11354,7985 Jefferson St,,Queens,NY,07/05/2000,America/New_York,40.77014,-73.840756
Michelle,Miller,michelle.miller7@yahoo.com,9143135829,10306,4958 Williams Ave,Apt 149,Staten Island,NY,07/03/1971,America/New_York,40.573446,-74.139173
Jennifer,Davis,jennifer.davis90@hotmail.com,6077296153,14609,5851 Thomas Rd,,Rochester,NY,10/26/1990,America/New_York,43.205536,-77.532283
Donna,Ferrari,donna_ferrari45@yahoo.com,2124626089,14607,8567 Franklin Ave,,Rochester,NY,05/11/1998,America/New_York,43.201321,-77.549434
Jennifer,Marino,jennifer.marino4@protonmail.com,6463888903,14606,9989 Maple Ave,,Rochester,NY,08/07/1994,America/New_York,43.133337,-77.562101
Jennifer,Jones,jennifer1049@outlook.com,5166987494,10302,4576 Taylor Ave,,Staten Island,NY,07/12/1998,America/New_York,40.623828,-74.137688
Joseph,Marino,joseph.marino10@outlook.com,6075629254,14605,2727 Anderson St,,Rochester,NY,12/17/1995,America/New_York,43.184407,-77.568162
Donna,Conti,donnaconti15@gmail.com,5858705187,12207,3470 Jones St,,Albany,NY,11/14/2003,America/New_York,42.658453,-73.786798
Lisa,Brown,lisa.brown1@outlook.com,6467202483,14209,7380 Pine St,,Buffalo,NY,09/28/1969,America/New_York,42.912961,-78.792323
Anthony,Greco,anthony_greco@protonmail.com,9144006854,11203,6473 Adams St,,Brooklyn,NY,04/08/1972,America/New_York,40.649928,-73.927314
Vincent,Miller,vincent.miller3@outlook.com,6463104398,10310,5566 Maple Ave,,Staten Island,NY,09/15/1994,America/New_York,40.631788,-74.118377
Jennifer,Miller,jenniferm53@hotmail.com,3154191246,14203,3965 First St,,Buffalo,NY,05/28/1953,America/New_York,42.877209,-78.856985
John,Brown,johnb80@hotmail.com,9148111125,14208,9630 Moore Ave,,Buffalo,NY,07/09/1980,America/New_York,42.831737,-78.799297
Anthony,Wilson,a.wilson@yahoo.com,9344433946,10454,9262 Fifth St,Apt 681,Bronx,NY,05/22/1945,America/New_York,40.808041,-73.92242
Anthony,Davis,anthonydav27@outlook.com,3477147643,12210,9251 Miller St,Apt 810,Albany,NY,12/24/1973,America/New_York,42.680726,-73.821396
Lisa,Wilson,lisa.wilson52@outlook.com,5164542117,10002,9279 First St,,New York,NY,04/27/1952,America/New_York,40.719064,-73.987771
Maria,Conti,maria.conti@outlook.com,7162232830,14610,7 Elm St,Apt 520,Rochester,NY,06/18/2000,America/New_York,43.112623,-77.521238
Maria,Marino,maria927@hotmail.com,7162123528,11101,5006 Moore Ave,,Queens,NY,09/01/1949,America/New_York,40.749833,-73.944362
Nicholas,Brown,nicholas_brown30@outlook.com,5859862033,10308,5496 First St,,Staten Island,NY,05/16/1993,America/New_York,40.554009,-74.151838
Maria,Ricci,maria980@gmail.com,5855905981,11101,7052 First St,Apt 831,Queens,NY,08/20/2003,America/New_York,40.753305,-73.941997
Joseph,Marino,josephmar44@yahoo.com,7184329468,13202,5752 Wilson Rd,,Syracuse,NY,01/21/1957,America/New_York,43.03358,-76.139668
John,Conti,johnc82@hotmail.com,3476639130,10002,7607 Davis Ave,,New York,NY,05/27/1982,America/New_York,40.718226,-73.984184
Frank,Romano,frank.romano8@gmail.com,6315025431,11358,1980 Williams Ave,Apt 284,Queens,NY,08/18/1967,America/New_York,40.764465,-73.79112
Catherine,Miller,cmiller25@yahoo.com,6315918070,11201,5262 Washington Ave,,Brooklyn,NY,10/08/1984,America/New_York,40.690651,-73.987465
Maria,Marino,maria371@yahoo.com,5165011810,12209,8166 Miller St,,Albany,NY,02/21/1974,America/New_York,42.632459,-73.869741
Joseph,Brown,j.brown@yahoo.com,9298021382,10011,2848 Washington Ave,,New York,NY,06/17/1994,America/New_York,40.742363,-74.003742
Catherine,Brown,cbrown97@yahoo.com,7165471069,11202,9500 Washington Ave,,Brooklyn,NY,07/26/1977,America/New_York,40.696213,-73.997238
Nicholas,Jones,nicholas.jones@hotmail.com,9174261976,10018,4687 Williams Ave,,New York,NY,02/20/1971,America/New_York,40.757792,-73.994395
Michelle,Smith,michelle_smith18@gmail.com,9143037553,10003,7265 Davis Ave,Apt 615,New York,NY,04/09/1979,America/New_York,40.733746,-73.986214
Catherine,Miller,cmiller24@protonmail.com,6318144831,14202,5017 Elm St,,Buffalo,NY,09/14/1957,America/New_York,42.863868,-78.865276
Angela,Jones,angela.jones8@hotmail.com,7182636036,11103,4916 Williams Ave,,Queens,NY,12/15/2002,America/New_York,40.766781,-73.914187
Michelle,Johnson,michelle.johnson8@protonmail.com,6463074769,14209,5446 Miller St,,Buffalo,NY,10/28/1976,America/New_York,42.913558,-78.791881
Vincent,Wilson,v.wilson@hotmail.com,5856085695,13204,5860 Miller St,Apt 709,Syracuse,NY,10/20/1997,America/New_York,43.025554,-76.114855
Catherine,Wilson,catherine.wilson48@yahoo.com,6079244060,14209,163 Pine St,,Buffalo,NY,01/17/1948,America/New_York,42.921081,-78.785902
John,Williams,johnwill@hotmail.com,9179329625,12209,1499 Third St,,Albany,NY,07/14/1960,America/New_York,42.630495,-73.870241
Michelle,Esposito,michelle.esposito9@hotmail.com,3156229113,10016,1884 Third St,,New York,NY,05/15/2002,America/New_York,40.740593,-73.979929
Vincent,Miller,vincentmill@yahoo.com,9298537463,12205,1303 Adams St,Apt 203,Albany,NY,01/06/1970,America/New_York,42.708829,-73.817336
Salvatore,Greco,salvatore.greco68@protonmail.com,9172719330,10018,3281 Taylor Ave,,New York,NY,12/06/1968,America/New_York,40.756833,-73.990012
Michelle,Marino,michellemari@gmail.com,9179145895,14209,4784 Martin St,Apt 403,Buffalo,NY,03/17/1953,America/New_York,42.920092,-78.787866
Michael,Jones,michaelj04@gmail.com,7169298804,10008,9944 Park Rd,,New York,NY,01/21/2004,America/New_York,40.708808,-74.004219
Joseph,Brown,josephbro22@yahoo.com,9147461461,12206,8211 Elm St,,Albany,NY,05/10/1962,America/New_York,42.645062,-73.80328
Lisa,Davis,lisa.davis00@yahoo.com,5859323227,14202,2076 Washington Ave,,Buffalo,NY,12/15/2000,America/New_York,42.866751,-78.865631
John,Smith,johnsmi35@hotmail.com,6315407407,14208,2283 Jones St,Apt 780,Buffalo,NY,12/19/1959,America/New_York,42.837755,-78.796698
Donna,Davis,donnadavis51@outlook.com,9347781205,10310,7701 Park Rd,,Staten Island,NY,01/24/1957,America/New_York,40.633304,-74.119657
John,Ricci,johnricc@hotmail.com,7169562915,11356,6100 Elm St,,Queens,NY,05/27/1983,America/New_York,40.782613,-73.844469
Michelle,Jones,michelle.jones97@outlook.com,8459392793,11356,1779 Davis Ave,,Queens,NY,04/13/1997,America/New_York,40.785614,-73.842568
Michelle,Ricci,michelle357@protonmail.com,8458743361,10303,1603 Smith Rd,,Staten Island,NY,04/27/1973,America/New_York,40.639453,-74.167364
Lisa,Marino,lisamari@outlook.com,5858733220,13210,2052 Maple Ave,Apt 441,Syracuse,NY,06/05/1995,America/New_York,42.997486,-76.056621
Salvatore,Wilson,salvatore.wilson86@gmail.com,7168687517,10013,2644 Brown St,Apt 65,New York,NY,05/22/1982,America/New_York,40.719557,-74.00654
Catherine,Romano,catheriner90@hotmail.com,3475635752,12202,2048 Anderson St,Apt 991,Albany,NY,05/22/1990,America/New_York,42.676199,-73.83717
Jennifer,Ricci,jennifer_ricci@protonmail.com,5165549512,12201,7325 Brown St,,Albany,NY,11/09/1986,America/New_York,42.694916,-73.832806
Catherine,Davis,catherine.davis8@hotmail.com,6073534665,12206,2923 Maple Ave,,Albany,NY,11/19/1983,America/New_York,42.644599,-73.809011
Vincent,Davis,vincentdav35@hotmail.com,7189374312,14602,4807 Wilson Rd,,Rochester,NY,08/05/1945,America/New_York,43.166985,-77.601289
Frank,Esposito,f.esposito@outlook.com,7162615215,14201,2628 Taylor Ave,,Buffalo,NY,07/02/1971,America/New_York,42.885045,-78.875076
Angela,Miller,angelamill@gmail.com,9295695931,10457,8365 Elm St,,Bronx,NY,01/17/1982,America/New_York,40.850242,-73.897204
Jennifer,Russo,jennifer.russo56@gmail.com,9293944197,11205,7783 Elm St,,Brooklyn,NY,09/08/1983,America/New_York,40.696061,-73.968382
Donna,Williams,donnawill@protonmail.com,9143512835,13205,5750 Davis Ave,Apt 678,Syracuse,NY,03/06/1997,America/New_York,43.066792,-76.103784
Frank,Ferrari,frankfer62@yahoo.com,6466885167,14610,7939 Wilson Rd,Apt 393,Rochester,NY,12/27/1997,America/New_York,43.112128,-77.517505
Salvatore,Esposito,sesposito92@gmail.com,3157709960,13206,7900 Madison Ave,Apt 596,Syracuse,NY,09/01/1973,America/New_York,43.023049,-76.100641
Vincent,Miller,vincent.miller47@hotmail.com,9343209758,11206,4277 Wilson Rd,,Brooklyn,NY,05/02/1947,America/New_York,40.700044,-73.947018
Angela,Ricci,angela.ricci4@gmail.com,6314907199,11355,6598 Washington Ave,Apt 397,Queens,NY,04/25/1997,America/New_York,40.754442,-73.819856
John,Wilson,johnwilson49@gmail.com,9173817127,10455,7699 Jackson St,,Bronx,NY,12/18/1991,America/New_York,40.814334,-73.904149
Jennifer,Ferrari,jferrari69@outlook.com,9148324913,11355,5533 Smith Rd,Apt 307,Queens,NY,11/25/1971,America/New_York,40.749819,-73.818044
Maria,Ricci,mricci33@yahoo.com,6463406268,12204,9365 Cedar Ln,,Albany,NY,10/24/2006,America/New_York,42.665377,-73.854856
Michelle,Smith,michelle_smith@protonmail.com,6469463308,13209,3247 Lincoln Rd,,Syracuse,NY,08/18/1997,America/New_York,43.089965,-76.068534
Jennifer,Ferrari,jenniferferr@hotmail.com,6077668679,11210,4491 Elm St,Apt 132,Brooklyn,NY,08/18/1958,America/New_York,40.623855,-73.948681
Salvatore,Smith,salvatore.smith7@protonmail.com,9342836306,13208,5209 Oak Ave,,Syracuse,NY,02/10/1997,America/New_York,43.01202,-76.076186
Michael,Ferrari,michaelferrari37@hotmail.com,5182628125,10001,2152 Fourth St,,New York,NY,03/24/1984,America/New_York,40.745942,-73.992383
Vincent,Ferrari,v.ferrari@outlook.com,6075184797,12208,3145 Third St,Apt 659,Albany,NY,03/27/1972,America/New_York,42.701762,-73.844716
Christine,Greco,christinegre94@outlook.com,3157032992,14602,7765 Second St,,Rochester,NY,04/25/2003,America/New_York,43.170009,-77.59932
Joseph,Wilson,joseph_wilson5@outlook.com,9348852775,11103,5348 Pine St,Apt 184,Queens,NY,02/21/1999,America/New_York,40.770567,-73.91052
Michael,Ricci,michael.ricci5@hotmail.com,6462179116,10016,5367 Anderson St,,New York,NY,02/11/1991,America/New_York,40.746238,-73.975951
Michelle,Greco,michelleg80@hotmail.com,5188927072,10006,9033 Jefferson St,,New York,NY,02/25/1980,America/New_York,40.711414,-74.010679
Jennifer,Brown,jenniferbrown26@outlook.com,3474054275,10009,1620 Martin St,,New York,NY,12/18/1957,America/New_York,40.722008,-73.980663
Michael,Johnson,mjohnson15@yahoo.com,9177218694,14608,9881 Moore Ave,Apt 952,Rochester,NY,10/12/1978,America/New_York,43.12609,-77.535577
Joseph,Esposito,j.esposito@hotmail.com,7166501500,10001,715 Cedar Ln,Apt 654,New York,NY,04/10/1980,America/New_York,40.74782,-73.991739
Joseph,Russo,joseph_russo@outlook.com,7165602815,14203,7690 Smith Rd,,Buffalo,NY,12/01/1959,America/New_York,42.881046,-78.863148
John,Greco,john.greco9@gmail.com,9173067130,11206,5670 Martin St,Apt 156,Brooklyn,NY,08/04/1991,America/New_York,40.698061,-73.938477
Michelle,Ferrari,michelle942@yahoo.com,9147034568,13210,3795 Third St,,Syracuse,NY,03/08/1947,America/New_York,42.999812,-76.053883
Michelle,Ricci,michelle366@protonmail.com,5856432129,10010,6215 Main St,,New York,NY,12/15/1956,America/New_York,40.742781,-73.978579
Salvatore,Conti,salvatoreconti60@gmail.com,9297857830,10006,6102 Pine St,,New York,NY,12/16/1983,America/New_York,40.711489,-74.016785
Jennifer,Williams,jenniferwil65@yahoo.com,7182564399,10011,2390 Washington Ave,,New York,NY,10/24/1962,America/New_York,40.743918,-73.996908
Maria,Wilson,mariawil90@protonmail.com,2125201596,10457,1164 Main St,,Bronx,NY,12/03/1953,America/New_York,40.843644,-73.900892
Catherine,Esposito,catherine658@outlook.com,3476658219,12205,7759 Fourth St,,Albany,NY,07/06/1984,America/New_York,42.710314,-73.818711
Anthony,Johnson,anthony.johnson8@protonmail.com,9175355491,11209,3878 First St,,Brooklyn,NY,01/26/1975,America/New_York,40.62061,-74.027027
Maria,Romano,maria.romano72@outlook.com,5188869431,14201,1560 Wilson Rd,,Buffalo,NY,08/04/1960,America/New_York,42.885561,-78.875175
Angela,Davis,angela_davis@yahoo.com,7165356257,13209,9627 Park Rd,,Syracuse,NY,01/16/1969,America/New_York,43.089623,-76.06764
Jennifer,Miller,jennifermill@outlook.com,9342242655,10308,4874 Taylor Ave,,Staten Island,NY,02/05/1962,America/New_York,40.558503,-74.147925
Nicholas,Ricci,nicholas.ricci4@hotmail.com,6074506279,10011,2186 Cedar Ln,,New York,NY,02/06/1951,America/New_York,40.741971,-74.001939
Salvatore,Greco,sgreco34@outlook.com,6464374358,10451,7469 Brown St,,Bronx,NY,02/09/1970,America/New_York,40.81937,-73.923266
